City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
389,sechura,17,PE,1556678655,88,-5.56,-80.82,70.95,13.24
390,san ramon de la nueva oran,100,AR,1556678656,99,-23.13,-64.33,61.95,1.01
391,taksimo,88,RU,1556678656,71,56.36,114.84,45.73,6.93
392,ak-dovurak,99,RU,1556678656,30,51.17,90.6,50.8,10.56
393,alekseyevsk,18,RU,1556678657,59,57.84,108.35,59.01,12.97
394,nikolsk,69,RU,1556678657,56,59.53,45.45,34.95,6.89
395,poum,49,MK,1556678657,89,41.28,20.71,38.35,3.42
396,namatanai,90,PG,1556678658,72,-3.66,152.44,84.99,5.19
397,sanchursk,0,RU,1556678658,57,56.94,47.25,36.62,8.41
398,muridke,40,PK,1556676000,50,31.8,74.25,75.2,3.36
399,tulun,0,RU,1556678658,25,54.56,100.58,65.44,7.11
400,tabou,97,CI,1556678658,94,4.42,-7.36,76.54,1.48
401,viedma,0,AR,1556678659,28,-40.81,-62.99,52.5,9.53
402,cartagena,75,ES,1556678566,87,37.63,-1.0,59.0,2.24
403,lahaina,20,US,1556678537,54,20.87,-156.68,84.2,13.87
404,balkhash,99,KZ,1556678660,50,46.84,74.98,45.67,14.79
405,norman wells,90,CA,1556676000,64,65.28,-126.83,35.6,5.82
406,byron bay,75,AU,1556678350,83,-28.65,153.62,78.8,9.17
407,sao gabriel da cachoeira,14,BR,1556678661,87,-0.13,-67.09,76.58,2.44
408,lazaro cardenas,5,MX,1556674920,10,28.39,-105.62,80.6,10.29
409,kardla,0,EE,1556678416,86,58.44,26.57,30.99,2.37
410,latung,8,ID,1556678662,63,-8.45,120.42,85.45,3.76
411,khani,0,GE,1556676000,63,41.96,42.96,62.6,13.87
412,les cayes,0,HT,1556678662,76,18.19,-73.75,81.37,19.17
413,buala,89,SB,1556678662,76,-8.15,159.59,84.52,9.22
414,cururupu,100,BR,1556678663,98,-1.82,-44.87,74.71,0.76
415,ust-kuyga,0,RU,1556678663,71,70.0,135.55,18.8,6.06
416,wiarton,90,CA,1556678571,68,44.74,-81.13,44.01,2.24
417,bull savanna,1,JM,1556678664,73,17.89,-77.59,80.56,5.17
418,tarauaca,95,BR,1556678664,98,-8.16,-70.77,73.52,2.06
419,mount gambier,75,AU,1556676000,48,-37.83,140.78,66.2,18.34
420,yar-sale,100,RU,1556678664,93,66.83,70.83,22.08,15.95
421,chicama,75,PE,1556676000,88,-7.84,-79.15,68.0,12.75
422,kautokeino,90,NO,1556678665,91,69.01,23.04,21.16,12.48
423,quatis,10,BR,1556678666,94,-22.41,-44.26,64.16,2.46
424,clyde river,75,CA,1556676000,92,70.47,-68.59,19.4,18.34
425,thinadhoo,89,MV,1556678666,78,0.53,72.93,85.06,15.84
426,baherden,0,TM,1556678667,42,38.44,57.43,58.92,4.09
427,bijie,100,CN,1556678667,63,27.3,105.3,63.73,7.9
